season,last.name,first.name.x,first.name.y,games.played,games.started,minutes,average.minutes,field.goals,field.goal.attempts,two.pointers,two.point.attempts,two.point.prop,three.pointers,three.point.attempts,three.point.prop,free.throws,free.throw.attempts,free.throw.prop,offensive.rebounds,defensive.rebounds,assists,turnovers,blocks,steals,points,average.points,total.rebounds,fouls,foul.outs,jersey,class,height,height.inches,weight,redshirt,city,state,link,prior.school
1975.0,Jones,R.,NA,14.0,NA,NA,NA,98.0,201.0,NA,NA,NA,NA,NA,NA,50.0,67.0,0.746268656716418,NA,NA,NA,NA,NA,NA,246.0,17.6,106.0,38.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197475_Stats,NA
1975.0,Motley,NA,NA,25.0,NA,NA,NA,141.0,276.0,NA,NA,NA,NA,NA,NA,58.0,84.0,0.6904761904761905,NA,NA,NA,NA,NA,NA,340.0,13.6,211.0,69.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197475_Stats,NA
1975.0,Price,NA,NA,25.0,NA,NA,NA,139.0,284.0,NA,NA,NA,NA,NA,NA,58.0,84.0,0.6904761904761905,NA,NA,NA,NA,NA,NA,336.0,13.4,206.0,88.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197475_Stats,NA
1975.0,Highsmith,NA,NA,25.0,NA,NA,NA,100.0,214.0,NA,NA,NA,NA,NA,NA,42.0,65.0,0.6461538461538462,NA,NA,NA,NA,NA,NA,242.0,9.7,55.0,70.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197475_Stats,NA
1975.0,Cain,NA,NA,25.0,NA,NA,NA,103.0,235.0,NA,NA,NA,NA,NA,NA,23.0,37.0,0.6216216216216216,NA,NA,NA,NA,NA,NA,229.0,9.2,48.0,47.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197475_Stats,NA
1975.0,Hudgins,NA,NA,25.0,NA,NA,NA,89.0,201.0,NA,NA,NA,NA,NA,NA,29.0,35.0,0.8285714285714286,NA,NA,NA,NA,NA,NA,207.0,8.3,58.0,30.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197475_Stats,NA
1975.0,Ellis,NA,NA,24.0,NA,NA,NA,73.0,140.0,NA,NA,NA,NA,NA,NA,39.0,64.0,0.609375,NA,NA,NA,NA,NA,NA,185.0,7.7,111.0,37.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197475_Stats,NA
1975.0,Jones,J.,NA,25.0,NA,NA,NA,75.0,143.0,NA,NA,NA,NA,NA,NA,19.0,40.0,0.475,NA,NA,NA,NA,NA,NA,169.0,6.8,155.0,73.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197475_Stats,NA
1975.0,Henderson,NA,NA,25.0,NA,NA,NA,73.0,182.0,NA,NA,NA,NA,NA,NA,21.0,39.0,0.5384615384615384,NA,NA,NA,NA,NA,NA,167.0,6.7,64.0,46.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197475_Stats,NA
1975.0,Tatum,NA,NA,23.0,NA,NA,NA,23.0,44.0,NA,NA,NA,NA,NA,NA,18.0,31.0,0.5806451612903226,NA,NA,NA,NA,NA,NA,64.0,2.8,65.0,33.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197475_Stats,NA
1975.0,DiMaria,NA,NA,23.0,NA,NA,NA,9.0,25.0,NA,NA,NA,NA,NA,NA,10.0,13.0,0.7692307692307693,NA,NA,NA,NA,NA,NA,28.0,1.2,16.0,18.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197475_Stats,NA
1976.0,Motley,Tom,NA,25.0,NA,776.0,31.04,182.0,393.0,NA,NA,NA,NA,NA,NA,96.0,135.0,0.7111111111111111,NA,NA,5.0,NA,NA,NA,460.0,18.4,213.0,76.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,Henderson,Gerald,NA,25.0,NA,727.0,29.08,196.0,395.0,NA,NA,NA,NA,NA,NA,27.0,43.0,0.627906976744186,NA,NA,46.0,NA,NA,NA,419.0,16.8,71.0,63.0,6.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,Price,Tic,NA,25.0,NA,678.0,27.12,128.0,281.0,NA,NA,NA,NA,NA,NA,65.0,88.0,0.7386363636363636,NA,NA,34.0,NA,NA,NA,321.0,12.8,136.0,73.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,Holloway,Tony,NA,21.0,NA,376.0,17.904761904761905,80.0,156.0,NA,NA,NA,NA,NA,NA,12.0,26.0,0.46153846153846156,NA,NA,15.0,NA,NA,NA,172.0,8.2,62.0,34.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,Highsmith,Keith ,NA,25.0,NA,749.0,29.96,64.0,160.0,NA,NA,NA,NA,NA,NA,35.0,49.0,0.7142857142857143,NA,NA,150.0,NA,NA,NA,163.0,6.5,37.0,55.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,Watson,Lorenza,NA,25.0,NA,491.0,19.64,68.0,121.0,NA,NA,NA,NA,NA,NA,18.0,38.0,0.47368421052631576,NA,NA,11.0,NA,NA,NA,154.0,6.2,187.0,63.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,Binns,Tim,NA,22.0,NA,207.0,9.409090909090908,49.0,107.0,NA,NA,NA,NA,NA,NA,24.0,29.0,0.8275862068965517,NA,NA,4.0,NA,NA,NA,122.0,5.5,38.0,21.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,Barnes,Norman,NA,25.0,NA,396.0,15.84,60.0,119.0,NA,NA,NA,NA,NA,NA,18.0,32.0,0.5625,NA,NA,6.0,NA,NA,NA,138.0,5.5,126.0,63.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,Tatum,Edd,NA,22.0,NA,229.0,10.409090909090908,31.0,73.0,NA,NA,NA,NA,NA,NA,16.0,27.0,0.5925925925925926,NA,NA,4.0,NA,NA,NA,78.0,3.5,55.0,47.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,Elis,Tony,NA,15.0,NA,104.0,6.933333333333334,19.0,54.0,NA,NA,NA,NA,NA,NA,7.0,15.0,0.4666666666666667,NA,NA,0.0,NA,NA,NA,45.0,3.0,34.0,10.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,Fultz,Morris ,NA,3.0,NA,24.0,8.0,2.0,3.0,NA,NA,NA,NA,NA,NA,4.0,4.0,1.0,NA,NA,1.0,NA,NA,NA,88.0,2.7,10.0,3.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,Holmes,Pat,NA,10.0,NA,73.0,7.3,7.0,13.0,NA,NA,NA,NA,NA,NA,4.0,9.0,0.4444444444444444,NA,NA,4.0,NA,NA,NA,18.0,1.8,26.0,7.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,Saltz,Rhea,NA,13.0,NA,93.0,7.153846153846154,7.0,23.0,NA,NA,NA,NA,NA,NA,9.0,12.0,0.75,NA,NA,14.0,NA,NA,NA,23.0,1.8,5.0,17.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1976.0,DiMaria,Tony,NA,14.0,NA,127.0,9.071428571428571,5.0,26.0,NA,NA,NA,NA,NA,NA,6.0,11.0,0.5454545454545454,NA,NA,11.0,NA,NA,NA,16.0,1.1,7.0,16.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197576_Stats,NA
1977.0,Henderson,NA,NA,25.0,NA,903.0,36.12,228.0,465.0,NA,NA,NA,NA,NA,NA,50.0,81.0,0.6172839506172839,NA,NA,83.0,135.0,9.0,55.0,506.0,20.2,102.0,84.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1977.0,Watson,NA,NA,26.0,NA,876.0,33.69230769230769,159.0,293.0,NA,NA,NA,NA,NA,NA,50.0,86.0,0.5813953488372093,NA,NA,53.0,69.0,135.0,40.0,368.0,14.2,311.0,97.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1977.0,Binns,NA,NA,25.0,NA,804.0,32.16,126.0,253.0,NA,NA,NA,NA,NA,NA,53.0,65.0,0.8153846153846154,NA,NA,36.0,43.0,2.0,4.0,305.0,12.2,119.0,52.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1977.0,Tatum,NA,NA,26.0,NA,723.0,27.807692307692307,86.0,164.0,NA,NA,NA,NA,NA,NA,36.0,51.0,0.7058823529411765,NA,NA,35.0,55.0,11.0,10.0,208.0,8.0,141.0,93.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1977.0,Noe,NA,NA,25.0,NA,720.0,28.8,72.0,177.0,NA,NA,NA,NA,NA,NA,43.0,73.0,0.589041095890411,NA,NA,46.0,55.0,0.0,18.0,187.0,7.5,96.0,63.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1977.0,DiMaria,NA,NA,26.0,NA,904.0,34.76923076923077,80.0,150.0,NA,NA,NA,NA,NA,NA,26.0,35.0,0.7428571428571429,NA,NA,65.0,58.0,0.0,33.0,186.0,7.2,58.0,52.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1977.0,Carmack,NA,NA,14.0,NA,139.0,9.928571428571429,27.0,48.0,NA,NA,NA,NA,NA,NA,15.0,20.0,0.75,NA,NA,5.0,17.0,0.0,1.0,69.0,4.9,40.0,23.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1977.0,Pickus,NA,NA,16.0,NA,62.0,3.875,8.0,22.0,NA,NA,NA,NA,NA,NA,9.0,15.0,0.6,NA,NA,0.0,8.0,1.0,0.0,25.0,1.6,20.0,11.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1977.0,Chandler,NA,NA,9.0,NA,29.0,3.2222222222222223,4.0,14.0,NA,NA,NA,NA,NA,NA,2.0,6.0,0.3333333333333333,NA,NA,1.0,11.0,0.0,0.0,10.0,1.1,6.0,7.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1977.0,Gray,NA,NA,11.0,NA,27.0,2.4545454545454546,5.0,9.0,NA,NA,NA,NA,NA,NA,2.0,9.0,0.2222222222222222,NA,NA,0.0,0.0,0.0,1.0,7.0,0.6,9.0,2.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1977.0,Trusty,NA,NA,2.0,NA,5.0,2.5,1.0,2.0,NA,NA,NA,NA,NA,NA,0.0,0.0,NaN,NA,NA,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1977.0,Bell ,NA,NA,11.0,NA,26.0,2.3636363636363638,2.0,6.0,NA,NA,NA,NA,NA,NA,3.0,6.0,0.5,NA,NA,0.0,8.0,0.0,1.0,7.0,0.6,3.0,2.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1977.0,Payne,NA,NA,9.0,NA,12.0,1.3333333333333333,0.0,5.0,NA,NA,NA,NA,NA,NA,0.0,0.0,NaN,NA,NA,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197677_Stats,NA
1978.0,Henderson,NA,NA,28.0,NA,939.0,33.535714285714285,185.0,377.0,NA,NA,NA,NA,NA,NA,80.0,121.0,0.6611570247933884,NA,NA,69.0,86.0,6.0,58.0,450.0,16.1,94.0,76.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197778_Stats,NA
1978.0,Watson,NA,NA,28.0,NA,898.0,32.07142857142857,139.0,248.0,NA,NA,NA,NA,NA,NA,70.0,128.0,0.546875,NA,NA,50.0,75.0,127.0,32.0,348.0,12.4,332.0,107.0,7.0,NA,NA,NA,NA,NA,NA,NA,NA,http://vcuathletics.com/sports/mbkb/archives/197778_Stats,NA
